year,ndwi
2018,-0.144
2018,
2018,0.341
2018,
2018,-0.098
2018,-0.184
2018,-0.106
2018,0.1
2018,-0.088
2018,-0.072
2018,
2018,-0.107
2018,-0.102
2018,0.037
2018,0.253
2018,-0.076
2018,-0.1
2018,-0.137
2018,
2018,0.101
2018,-0.094
2018,-0.034
2018,
2018,-0.089
2018,-0.016
2018,0.105
2018,-0.068
2018,-0.076
2018,-0.141
2018,
2018,
2018,-0.111
2018,-0.031
2018,
2018,0.142
2018,-0.06
2018,-0.113
2018,-0.016
2018,
2018,-0.043
2018,-0.067
2018,-0.17
2018,
2018,
2018,-0.05
2018,-0.017
2018,
2018,-0.182
2018,-0.155
2018,-0.127
2018,-0.015
2018,0.105
2018,-0.022
2018,-0.06
2018,-0.176
2018,
2018,0.064
2018,-0.126
2018,-0.044
2018,
2018,-0.191
2018,
2018,0.145
2018,-0.01
2018,-0.06
2018,-0.128
2018,
2018,0.032
2018,-0.132
2018,-0.039
2018,
2018,-0.166
2018,-0.163
2018,
2018,-0.01
2018,0.072
2018,-0.005
2018,-0.067
2018,-0.185
2018,
2018,0.001
2018,-0.132
2018,-0.032
2018,-0.043
2018,
2018,-0.15
2018,0.145
2018,-0.001
2018,-0.07
2018,-0.183
2018,
2018,0.061
2018,-0.137
2018,-0.028
2018,
2018,0.197
2018,
2018,-0.132
2018,-0.008
2018,0.096
2018,-0.064
2018,-0.187
2018,
2018,0.069
2018,-0.13
2018,-0.022
2018,-0.029
2018,-0.202
2018,-0.163
2018,-0.126
2018,0.001
2018,0.099
2018,-0.001
2018,-0.07
2018,-0.138
2018,-0.048
2018,
2018,
2018,-0.005
2018,
2018,
2018,-0.156
2018,
2018,-0.063
2018,-0.193
2018,-0.087
2018,0.132
2018,-0.204
2018,-0.158
2018,-0.127
2018,0.017
2018,0.153
2018,-0.045
2018,-0.082
2018,-0.194
2018,-0.093
2018,0.093
2018,-0.136
2018,0.002
2018,0.071
2018,-0.06
2018,0.146
2018,-0.131
2018,0.044
2018,0.185
2018,-0.076
2018,-0.099
2018,-0.121
2018,-0.06
2018,
2018,-0.1
2018,0.022
2018,-0.013
2018,-0.208
2018,-0.164
2018,-0.144
2018,0.028
2018,0.195
2018,
2018,
2018,-0.007
2018,-0.043
2018,-0.054
2018,
2018,-0.129
2018,0.161
2018,0.226
2018,
2018,
2018,0.12
2018,
2018,
2018,0.67
2018,
2018,
2018,-0.048
2018,-0.06
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,-0.069
2019,
2019,
2019,
2019,-0.01
2019,0.041
2019,-0.02
2019,
2019,
2019,
